category,reason,user_id,user_timestamp,user_type,user_asset,user_quantity,user_price_usd,user_fee,user_note,user_quality_issues,exc_id,exc_timestamp,exc_type,exc_asset,exc_quantity,exc_price_usd,exc_fee,exc_note,exc_quality_issues,conflict_details
matched,Transaction matched within all tolerances,USR-001,1709283600000,BUY,BTC,0.5,62000,0.0005,Monthly DCA,,EXC-1001,1709283632000,BUY,BTC,0.5,62000,0.0005,,,
matched,Transaction matched within all tolerances,USR-002,1709292600000,BUY,ETH,2,3400,0.002,,,EXC-1002,1709292600000,BUY,ETH,2,3400,0.002,,,
matched,Transaction matched within all tolerances,USR-003,1709367300000,SELL,BTC,0.1,63200,0.0001,Partial exit,,EXC-1003,1709367310000,SELL,BTC,0.1,63200,0.0001,,,
matched,Transaction matched within all tolerances,USR-004,1709390700000,TRANSFER_OUT,ETH,1,,0.001,Sent to hardware wallet,,EXC-1004,1709390700000,TRANSFER_IN,ETH,1,,0.001,Received from user wallet,,
matched,Transaction matched within all tolerances,USR-005,1709460000000,BUY,BTC,0.25,61800,0.00025,Note: BTC referred to as bitcoin,,EXC-1005,1709460120000,BUY,BTC,0.25,61800,0.00025,,,
matched,Transaction matched within all tolerances,USR-006,1709482800000,BUY,USDT,500,1,0.5,Stablecoin purchase,,EXC-1006,1709482800000,BUY,USDT,500,1,0.5,,,
matched,Transaction matched within all tolerances,USR-007,1709543100000,SELL,ETH,0.5,3450,0.0005,,,EXC-1007,1709543155000,SELL,ETH,0.5,3450,0.0005,,,
matched,Transaction matched within all tolerances,USR-008,1709553600000,BUY,SOL,10,140,0.01,,,EXC-1008,1709553600000,BUY,SOL,10,140,0.01,,,
matched,Transaction matched within all tolerances,USR-009,1709627400000,TRANSFER_OUT,BTC,0.05,,0.0001,Sent to cold storage,,EXC-1009,1709627400000,TRANSFER_IN,BTC,0.05,,0.0001,,,
matched,Transaction matched within all tolerances,USR-010,1709650800000,BUY,ETH,1.5,3500,0.0015,,,EXC-1010,1709650800000,BUY,ETH,1.5,3500,0.002,,,
matched,Transaction matched within all tolerances,USR-011,1709720100000,SELL,SOL,5,145,0.005,,,EXC-1011,1709720100000,SELL,SOL,5,145,0.005,,,
conflicting,Matched by proximity but has 1 field conflict(s): quantity,USR-012,1709731800000,BUY,BTC,0.3,62500,0.0003,,,EXC-1012,1709731800000,BUY,BTC,0.3001,62500,0.0003,,,quantity: user=0.3 exc=0.3001 (0.0333% difference (tolerance: 0.01%))
matched,Transaction matched within all tolerances,USR-013,1709804700000,BUY,MATIC,200,0.95,0.2,,,EXC-1013,1709804700000,BUY,MATIC,200,0.95,0.2,,,
matched,Transaction matched within all tolerances,USR-014,1709820000000,SELL,USDT,200,1,0.2,,,EXC-1014,1709820000000,SELL,USDT,200,1,0.2,,,
matched,Transaction matched within all tolerances,USR-015,1709895600000,BUY,ETH,0.8,3480,0.0008,,,EXC-1015,1709895600000,BUY,ETH,0.8,3480,0.0008,,,
matched,Transaction matched within all tolerances,USR-016,1709916300000,TRANSFER_OUT,SOL,3,,0.003,,,EXC-1016,1709916300000,TRANSFER_IN,SOL,3,,0.003,,,
matched,Transaction matched within all tolerances,USR-017,1709980200000,BUY,BTC,0.2,61500,0.0002,,,EXC-1017,1709980200000,BUY,BTC,0.2,61500,0.0002,,,
matched,Transaction matched within all tolerances,USR-020,1710075600000,SELL,BTC,0.15,63000,0.00015,,,EXC-1019,1710075600000,SELL,BTC,0.15,63000,0.00015,,,
matched,Transaction matched within all tolerances,USR-021,1710147600000,BUY,ETH,1,3520,0.001,,,EXC-1020,1710147600000,BUY,ETH,1,3520,0.001,,,
matched,Transaction matched within all tolerances,USR-022,1710170400000,BUY,LINK,50,18,0.05,,,EXC-1021,1710170400000,BUY,LINK,50,18,0.05,,,
matched,Transaction matched within all tolerances,USR-023,1710237600000,SELL,MATIC,100,0.97,0.1,,,EXC-1022,1710237600000,SELL,MATIC,100,0.97,0.1,,,
matched,Transaction matched within all tolerances,USR-025,1710321300000,BUY,BTC,0.35,62200,0.00035,,,EXC-1023,1710321300000,BUY,BTC,0.35,62200,0.00035,,,
unmatched_exchange,No matching user transaction found within tolerance window,,,,,,,,,,EXC-1018,1710003600000,SELL,ETH,0.3,3510,0.0003,,,
unmatched_exchange,No matching user transaction found within tolerance window,,,,,,,,,,EXC-1024,1710352800000,BUY,ETH,0.6,3490,0.0006,Not present in user file,,
unmatched_exchange,No matching user transaction found within tolerance window,,,,,,,,,,EXC-1025,1710410400000,SELL,BTC,0.2,63500,0.0002,Not present in user file,,
unmatched_user,"Row skipped from matching — data quality issues: Duplicate transaction_id ""USR-001"" (first seen at row 2)",USR-001,1709283600000,BUY,BTC,0.5,62000,0.0005,Monthly DCA,"Duplicate transaction_id ""USR-001"" (first seen at row 2)",,,,,,,,,,
unmatched_user,"Row skipped from matching — data quality issues: Malformed timestamp: ""2024-03-09T""",USR-018,,SELL,ETH,0.3,3510,0.0003,Malformed timestamp,"Malformed timestamp: ""2024-03-09T""",,,,,,,,,,
unmatched_user,Row skipped from matching — data quality issues: Negative quantity: -0.1,USR-019,1710057600000,BUY,BTC,-0.1,62000,0.0001,Negative quantity - data error,Negative quantity: -0.1,,,,,,,,,,
unmatched_user,"Row skipped from matching — data quality issues: Malformed timestamp: ""2024-03-12T""; Missing type",USR-024,,,BTC,0.4,62800,0.0004,Missing timestamp entirely,"Malformed timestamp: ""2024-03-12T""; Missing type",,,,,,,,,,
